slug,provider,actionButtons,plan,nodeType,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,starred,trial,address
0xrpc-mainnet-free-recent-state,0xrpc,"[""[Docs](https://0xrpc.github.io/)""]",Free,Recent-State,mainnet,$0,$0,,,,,,,,,,,,FALSE,FALSE,
1rpc-mainnet-public-recent-state,!provider:1rpc-public-recent-state,"[""[Website](https://www.1rpc.io/)"",""[Docs](https://docs.1rpc.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
1rpc-mainnet-free-recent-state,!provider:1rpc-free-recent-state,"[""[Website](https://www.1rpc.io/)"",""[Docs](https://docs.1rpc.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
1rpc-mainnet-pay-as-you-go-recent-state,!provider:1rpc-pay-as-you-go-recent-state,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",,,mainnet,,,,,,,,,,,,,,,,
1rpc-testnet-pay-as-you-go-recent-state,!provider:1rpc-pay-as-you-go-recent-state,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",,,testnet,,,,,,,,,,,,,,,,
alchemy-free-recent-state-mainnet,!provider:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/rpc/base)"", ""[Docs](https://www.alchemy.com/docs/reference/base-api-quickstart)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-pay-as-you-go-recent-state-mainnet,!provider:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"", ""[Docs](https://www.alchemy.com/docs/reference/base-api-quickstart)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-enterprise-recent-state-mainnet,!provider:alchemy-enterprise-recent-state,"[""[Contact](https://www.alchemy.com/contact-sales)"", ""[Docs](https://www.alchemy.com/docs/reference/base-api-quickstart)""]",,,mainnet,,,,,,,,,,,,,,,,
alchemy-free-recent-state-testnet,!provider:alchemy-free-recent-state,"[""[Website](https://www.alchemy.com/rpc/base-sepolia)"", ""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#base-sepolia-testnet)""]",,,testnet,,,,,,,,,,,,,,,,
alchemy-pay-as-you-go-recent-state-testnet,!provider:alchemy-pay-as-you-go-recent-state,"[""[Buy](https://www.alchemy.com/pricing)"", ""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#base-sepolia-testnet)""]",,,testnet,,,,,,,,,,,,,,,,
alchemy-enterprise-recent-state-testnet,!provider:alchemy-enterprise-recent-state,"[""[Contact](https://www.alchemy.com/contact-sales)"", ""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#base-sepolia-testnet)""]",,,testnet,,,,,,,,,,,,,,,,
base-rpc-free-recent-state-mainnet,Base,"[""[Website](https://www.base.org/)""]",Free,Recent-State,mainnet,$0,$0,NULL,NULL,NULL,,,,"[""NFT API"",""Token API"",""Wallet API"",""Blockchain API"",""Streams API""]","[""Rate-limited""]","[""Advanced monitoring"",""Decentralization"",""Hardened infrastructure measures""]","[""Real-time monitoring"",""Slack"",""Telegram"",""Email""]","[""Global""]",FALSE,FALSE,
base-rpc-free-recent-state-testnet,Base,"[""[Website](https://www.base.org/)""]",Free,Recent-State,testnet,$0,$0,NULL,NULL,NULL,,,,"[""NFT API"",""Token API"",""Wallet API"",""Blockchain API"",""Streams API""]","[""Rate-limited""]","[""Advanced monitoring"",""Decentralization"",""Hardened infrastructure measures""]","[""Real-time monitoring"",""Slack"",""Telegram"",""Email""]","[""Global""]",FALSE,FALSE,
llamanodes-free-recent-state-mainnet,LlamaNodes,"[""[Website](https://llamarpc.com/base)""]",Free,Recent-State,mainnet,$0,$0,NULL,NULL,NULL,,,,"[""Low latency"",""Advanced monitoring tools"",""Archived data access"",""Multi-chain support"",""Privacy-conscious access""]",,"[""MEV protection"",""Fast transaction execution with MEV shielding"",""Privacy-focused design""]","[""Advanced monitoring""]","[""Global""]",FALSE,FALSE,
meowrpc-free-recent-state-mainnet,MeowRPC,"[""[Website](https://meowrpc.com/)""]",Free,Recent-State,mainnet,$0,$0,NULL,NULL,NULL,,,,"[""Blockchain data queries"",""Transaction submission"",""Smart contract calls"",""Event log retrieval""]",,"[""MEV protection"",""Customizable key settings like Allowed Domains"",""Rate limits""]","[""Tracking network indicators"",""File/process anomalies""]","[""Asia Pacific South"",""South America East"",""US West""]",FALSE,FALSE,
nodies-free-recent-state-mainnet,Nodies,"[""[Website](https://www.nodies.app/)"",""[Docs](https://docs.nodies.app/overview/supported-blockchains)""]",Free,Recent-State,mainnet,$0,$0,NULL,NULL,NULL,99.90%,,,"[""Multi-chain support""]","[""4M req/mo"",""low rate-limit""]","[""Secure team collaboration and access management"",""Smart traffic routing across regions""]","[""Tracking live performance metrics""]","[""Global""]",FALSE,FALSE,
nodies-pay-as-you-go-recent-state-mainnet,Nodies,"[""[Buy](https://www.nodies.app/pricing)"",""[Docs](https://docs.nodies.app/overview/supported-blockchains)""]",Pay-as-you-go,Recent-State,mainnet,$50/$200,$0.0000075/$0.000005 per excess request,NULL,NULL,NULL,99.90%,,,,"[""10M/50M req/mo"",""higher rate limit""]","[""Secure team collaboration and access management"",""Smart traffic routing across regions""]","[""Tracking live performance metrics""]","[""Global""]",FALSE,FALSE,
nodies-enterprise-recent-state-mainnet,Nodies,"[""[Contact](https://www.nodies.app/contact-us)"",""[Docs](https://docs.nodies.app/overview/supported-blockchains)""]",Enterprise,Recent-State,mainnet,Custom,Custom,NULL,NULL,NULL,99.90%,,,,"[""No rate limit""]","[""Secure team collaboration and access management"",""Smart traffic routing across regions""]","[""Tracking live performance metrics""]","[""Global""]",FALSE,FALSE,
nodies-free-recent-state-testnet,Nodies,"[""[Website](https://www.nodies.app/)"",""[Docs](https://docs.nodies.app/overview/supported-blockchains)""]",Free,Recent-State,testnet,$0,$0,NULL,NULL,NULL,99.90%,,,,"[""4M req/mo"",""low rate-limit""]","[""Secure team collaboration and access management"",""Smart traffic routing across regions""]","[""Tracking live performance metrics""]","[""Global""]",FALSE,FALSE,
nodies-pay-as-you-go-recent-state-testnet,Nodies,"[""[Buy](https://www.nodies.app/pricing)"",""[Docs](https://docs.nodies.app/overview/supported-blockchains)""]",Pay-as-you-go,Recent-State,testnet,$50/$200,$0.0000075/$0.000005 per excess request,NULL,NULL,NULL,99.90%,,,,"[""10M/50M req/mo"",""higher rate limit""]","[""Secure team collaboration and access management"",""Smart traffic routing across regions""]","[""Tracking live performance metrics""]","[""Global""]",FALSE,FALSE,
nodies-enterprise-recent-state-testnet,Nodies,"[""[Contact](https://www.nodies.app/contact-us)"",""[Docs](https://docs.nodies.app/overview/supported-blockchains)""]",Enterprise,Recent-State,testnet,Custom,Custom,NULL,NULL,NULL,99.90%,,,,"[""No rate limit""]","[""Secure team collaboration and access management"",""Smart traffic routing across regions""]","[""Tracking live performance metrics""]","[""Global""]",FALSE,FALSE,
onfinality-free-mainnet-full-archive,!provider:onfinality-free-full-archive,"[""[Website](https://onfinality.io/en/networks/base)"",""[Docs](https://onfinality.io/networks/base)""]",,,mainnet,,,,,,,,,,,,,,,,
onfinality-pay-as-you-go-mainnet-full-archive,!provider:onfinality-pay-as-you-go-full-archive,"[""[Buy](https://onfinality.io/pricing)"",""[Docs](https://onfinality.io/networks/base)""]",,,mainnet,,,,,,,,,,,,,,,,
onfinality-enterprise-mainnet-full-archive,!provider:onfinality-enterprise-full-archive,"[""[Contact](https://onfinality.io/pricing)"",""[Docs](https://onfinality.io/networks/base)""]",,,mainnet,,,,,,,,,,,,,,,,
onfinality-free-testnet-full-archive,!provider:onfinality-free-full-archive,"[""[Website](https://onfinality.io/en/networks/base)"",""[Docs](https://onfinality.io/networks/base)""]",,,testnet,,,,,,,,,,,,,,,,
onfinality-pay-as-you-go-testnet-full-archive,!provider:onfinality-pay-as-you-go-full-archive,"[""[Buy](https://onfinality.io/pricing)"",""[Docs](https://onfinality.io/networks/base)""]",,,testnet,,,,,,,,,,,,,,,,
onfinality-enterprise-testnet-full-archive,!provider:onfinality-enterprise-full-archive,"[""[Contact](https://onfinality.io/pricing)"",""[Docs](https://onfinality.io/networks/base)""]",,,testnet,,,,,,,,,,,,,,,,
publicnode-mainnet-public-recent-state,!provider:publicnode-public-recent-state,"[""[Docs](https://base.publicnode.com/)""]",,,mainnet,,,,,,,,,,,,,,,,
publicnode-testnet-public-recent-state,!provider:publicnode-public-recent-state,"[""[Docs](https://base.publicnode.com/)""]",,,testnet,,,,,,,,,,,,,,,,
subquery-mainnet-public-full-archive,!provider:subquery-public-full-archive,"[""[Website](https://app.subquery.network/explorer/project/0x06/overview)""]",,,mainnet,,,,,,,,,,,,,,,,
subquery-testnet-public-full-archive,!provider:subquery-public-full-archive,"[""[Website](https://app.subquery.network/explorer/project/0x06/overview)""]",,,testnet,,,,,,,,,,,,,,,,
subquery-mainnet-pay-as-you-go-full-archive,!provider:subquery-pay-as-you-go-full-archive,"[""[Website](https://app.subquery.network/explorer/project/0x06/overview)""]",,,mainnet,,,,,,,,,,,,,,,,
subquery-testnet-pay-as-you-go-full-archive,!provider:subquery-pay-as-you-go-full-archive,"[""[Website](https://app.subquery.network/explorer/project/0x06/overview)""]",,,testnet,,,,,,,,,,,,,,,,
tatum-free-mainnet-recent-state,!provider:tatum-free-recent-state,"[""[Website](https://tatum.io/chain/base)"",""[Docs](https://docs.tatum.io/reference/rpc-base)""]",,,mainnet,,,,,,,,,,,,,,,,
tatum-pay-as-you-go-mainnet-recent-state,!provider:tatum-pay-as-you-go-recent-state,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/reference/rpc-base)""]",,,mainnet,,,,,,,,,,,,,,,,
tatum-enterprise-mainnet-recent-state,!provider:tatum-enterprise-recent-state,"[""[Contact](https://tatum.io/get-in-touch)"",""[Docs](https://docs.tatum.io/reference/rpc-base)""]",,,mainnet,,,,,,,,,,,,,,,,
tatum-free-testnet-recent-state,!provider:tatum-free-recent-state,"[""[Website](https://tatum.io/chain/base)"",""[Docs](https://docs.tatum.io/reference/rpc-base)""]",,,testnet,,,,,,,,,,,,,,,,
tatum-pay-as-you-go-testnet-recent-state,!provider:tatum-pay-as-you-go-recent-state,"[""[Buy](https://tatum.io/pricing)"",""[Docs](https://docs.tatum.io/reference/rpc-base)""]",,,testnet,,,,,,,,,,,,,,,,
tatum-enterprise-testnet-recent-state,!provider:tatum-enterprise-recent-state,"[""[Contact](https://tatum.io/get-in-touch)"",""[Docs](https://docs.tatum.io/reference/rpc-base)""]",,,testnet,,,,,,,,,,,,,,,,
tenderly-free-mainnet-recent-state,!provider:tenderly-free-recent-state,"[""[Website](https://tenderly.co/)"",""[Docs](https://docs.tenderly.co/supported-networks)""]",,,mainnet,,,,,,,,,,,,,,,,
tenderly-pay-as-you-go-mainnet-recent-state,!provider:tenderly-pay-as-you-go-recent-state,"[""[Buy](https://tenderly.co/pricing)"",""[Docs](https://docs.tenderly.co/supported-networks)""]",,,mainnet,,,,,,,,,,,,,,,,
tenderly-enterprise-mainnet-recent-state,!provider:tenderly-enterprise-recent-state,"[""[Contact](https://tenderly.co/pricing)"",""[Docs](https://docs.tenderly.co/supported-networks)""]",,,mainnet,,,,,,,,,,,,,,,,
tenderly-free-testnet-recent-state,!provider:tenderly-free-recent-state,"[""[Website](https://tenderly.co/)"",""[Docs](https://docs.tenderly.co/supported-networks)""]",,,testnet,,,,,,,,,,,,,,,,
tenderly-pay-as-you-go-testnet-recent-state,!provider:tenderly-pay-as-you-go-recent-state,"[""[Buy](https://tenderly.co/pricing)"",""[Docs](https://docs.tenderly.co/supported-networks)""]",,,testnet,,,,,,,,,,,,,,,,
tenderly-enterprise-testnet-recent-state,!provider:tenderly-enterprise-recent-state,"[""[Contact](https://tenderly.co/pricing)"",""[Docs](https://docs.tenderly.co/supported-networks)""]",,,testnet,,,,,,,,,,,,,,,,
