slug,provider,actionButtons,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed
acurast,Acurast,,Custom,FALSE,"[""Fetching Arbitrary Data"",""Compatibility with WASM and EVM"",""Price Feed""]","[""Real time price feeds""]","[""Active oracle model"",""Cross-chain functionality"",""Modular execution layer"",""Application layer support""]","[""Verifiable randomness""]",Decentralized,FALSE,Based on its tokenomics and staking mechanism involving the ACU token,"[""TypeScript"",""Solidity"",""JavaScript""]","[""Acurast Chain Audit by Monethic, covering the Acurast Substrate and Pallets (2025)"",""Acurast Token Smart Contract Audit by inference for the ACU ERC20 Token Contract for EVM deployments (2025)""]"
api3,API3,,Push & Pull Oracle,FALSE,"[""Price Feeds"",""QRNG"",""Airnode"",""dAPIs""]","[""Feed health dashboard""]","[""Quantum RNG""]","[""Asset Prices"",""Randomness""]",Decentralized,TRUE,First‑party dAPI model,"[""TypeScript"",""Solidity""]","[""OEV RFP Security Assessment (Compound/Commonwealth audit, Jun 2025)"",""Quantstamp audit of API3 Data Feed Proxy Combinators (2024)"",""Internal audit of Airnode and first‑party infrastructure (2023)""]"
band,Band Protocol,,Cross-chain Oracle,FALSE,"[""Oracle Scripts"",""IBC Feeds""]","[""Validator Performance""]","[""IBC compatibility"",""Flexible scripting""]","[""Token Prices"", ""ASTR"",""ATOM"",""AVAX"",""BNB"",""BUSD"",""DAI"",""DOT"",""ETH"",""FTM"",""MATIC"",""SOL"",""USDC"",""USDT"",""WBTC""]",Delegated Proof-of-Stake,TRUE,Cosmos-based staking model,"[""CosmJS"",""Solidity""]","[""CertiK""]"
chainlink,Chainlink,,Decentralized Oracle,FALSE,"[""Price Feed"",""VRF"",""Proof of Reserve""]","[""Node performance metrics""]","[""Economic Aggregation"",""Cross-chain support""]","[""Asset Prices"",""Randomness""]",Decentralized,TRUE,"Audited network, high TVL","[""TypeScript"",""Solidity""]","[""Trail of Bits (Jul 2024)"",""OpenZeppelin (Sep 2024)"",""ChainSecurity (Mar 2024)"",""Code4rena (Nov 2024)"",""Quantstamp"",""SigmaPrime""]"
chronicle,Chronicle Protocol,,Decentralized Oracle,FALSE,"[""Price Feeds""]","[""Reporter performance tools""]","[""Scalable reporter model"",""Forked from Maker oracle""]","[""Asset Prices""]",Decentralized,TRUE,Maker‑inspired model,"[""Solidity""]","[""ChainSecurity (Scribe audit, Aug 2023)"",""Cantina Reviews (Oracle infrastructure audit, Oct–Nov 2023)"",""ABDK (code review of core components, 2023)"",""Spearbit (security review of Scribe architecture, 2023)"",""Bug bounty program via Cantina (ongoing from Jun 2024)""]"
dia,DIA,,DIA,FALSE,"[""REST"",""GraphQL""]","[""Real-time Price Feeds""]","[""Cross-chain compatibility"",""Customizable data feeds"",""Customizable data feeds"",""Advanced architecture using Layer 2 rollup""]","[""BTC"",""DIA"",""USDC""]",Decentralized,FALSE,Explicitly state in their terms and conditions that using their price feeds is a user's risk,"[""Solidity"",""Vyper""]","[""April 2025, by MixBytes"",""May 2022, by Chainsulting""]"
gelato,Gelato,,Randomness Oracle,FALSE,"[""VRF"",""Web3 Functions""]","[""Monitoring Dashboard"",""Logs & Status API""]","[""First 10k VRF requests/month subsidized"",""Drand-based randomness""]","[""Randomness""]",Decentralized,FALSE,Cryptographic verifiability via drand/BLS; no staking/slashing,"[""TypeScript"",""Solidity""]","[""None Public""]"
ora,ORA,,AI‑powered Oracle,FALSE,"[""AI Data"",""Price Feed""]","[""Performance dashboard""]","[""AI-based feeds""]","[""Asset Prices"",""AI metrics""]",Decentralized,TRUE,"Enterprise‑grade ORAI protocol audited by CertiK, OpenZeppelin","[""TypeScript"",""Solidity""]","[""Certik (2024)""]"
orochi,Orochi Network,,Decentralized Oracle,FALSE,"[""Price Feeds"",""VRF""]","[""Monitoring dashboard"",""Oracle feeds explorer""]","[""ECVRF-based randomness"",""Batching & flexible submission"",""Validity proofs for all oracle data""]","[""Price Feeds"",""Randomness""]",Decentralized,FALSE,Cryptographic validity proofs (Orocle) + ECVRF proofs (Orand); no staking/slashing model,"[""Solidity""]","[""None Public""]"
pyth,Pyth Network,,Pull Oracle,FALSE,"[""Asset Price Feeds (incl. ARB/USD)""]","[""Real time price feeds""]","[""Cross‑chain via Wormhole""]","[""Asset Prices"",""FX"",""Metals""]",Decentralized,TRUE,Data from top-tier liquidity providers audited,"[""Solidity"",""Python SDK""]","[""Trail of Bits (2023)"",""Certik (2022)""]"
quex,Quex,,Decentralized Oracle,FALSE,"[""Price Feed""]","[""Basic metrics""]","[""Economic aggregation""]","[""Asset Prices""]",Decentralized,TRUE,Unsigned — early stage,"[""Solidity""]","[""Halborn Security (Full audit of smart contracts)"",""Cantina security review (Infrastructure integration audit, late 2024)"",""Bug bounty program ongoing (via Discord / Cantina, from mid‑2025)""]"
redstone,RedStone,,Modular Oracle,FALSE,"[""Price Feeds"",""Custom Data""]","[""Custom Delivery Monitoring""]","[""Data Packaging"",""Gas-efficient delivery"",""Smart contract plugins""]","[""Token Prices"", ""Custom External Data""]",Hybrid,TRUE,"Slashing, incentives through data availability and reputation","[""JavaScript"",""Solidity""]","[""Trail of Bits"",""Audit by PeckShield, 2023""]"
supra,Supra,,Decentralized Oracle,FALSE,"[""Price Feed"",""VRF"",""REST""]","[""Real-time Dashboard""]","[""High-speed oracle data with low-latency feeds""]","[""Price Feeds"", ""Randomness""]",Decentralized,TRUE,Validator node network with cryptographic proofs,"[""TypeScript""]","[""Audited by Halborn Security (2023)""]"
uma,UMA,,Optimistic Oracle,FALSE,"[""OO API"",""Assertion API""]","[""Vote Challenges""]","[""Dispute resolution"",""Broad data support""]","[""Anything verifiable on-chain""]",Optimistic + Governance,TRUE,Bonding and dispute mechanism,"[""JavaScript"",""Solidity""]","[""OpenZeppelin"",""Sherlock""]"
witnet,Witnet,,Independent Oracle Network,FALSE,"[""Witnet Bridge""]","[""Data verification trace""]","[""Built-in randomness"",""Bridge to EVM""]","[""Token Prices"", ""APIs"", ""Feeds""]",Proof-of-Work,TRUE,Economic incentives and mining,"[""JavaScript"",""Solidity""]","[""None Public""]"
